source,path,name,suffix,size_bytes,evidence_type,public_safe,rows_read,newhaven_matched_rows,numeric_columns_detected,chart_records_extracted
repo,site_public/data/backfill/incinerators/facility_backfill_readiness.csv,facility_backfill_readiness.csv,.csv,3258,evidence,yes,10,0,best_candidate_site;best_candidate_score;candidate_rows_available;openaq_location_ids_found;weeks_requested;public_note,0
repo,site_public/data/focus/overlays/remaining_overlay_queue.csv,remaining_overlay_queue.csv,.csv,6004,evidence,yes,38,0,Lat;Lon;Easting;Northing;Control_Lat;Control_Lon;Control_Easting;Control_Northing,0
repo,site_public/data/focus/overlays/validated_defra_overlays.csv,validated_defra_overlays.csv,.csv,2131,evidence,yes,8,1,defra_site_lat;defra_site_lon;distance_facility_to_defra_km;distance_control_to_defra_km;distance_receptor_to_defra_km;control_site;control_lat;control_lon,4
repo,site_public/data/focus/overlays_v3/openaq_query_diagnostics.csv,openaq_query_diagnostics.csv,.csv,3248,diagnostic,yes,18,0,method;url;http_status;result_count;attempt,0
repo,site_public/data/focus/overlays_v3/queried_facilities_this_run.csv,queried_facilities_this_run.csv,.csv,630,evidence,yes,3,0,Lat;Lon;Easting;Northing;Control_Lat;Control_Lon;Control_Easting;Control_Northing,0
repo,site_public/data/focus/overlays_v3/remaining_overlay_queue_after_skip.csv,remaining_overlay_queue_after_skip.csv,.csv,630,evidence,yes,3,0,Lat;Lon;Easting;Northing;Control_Lat;Control_Lon;Control_Easting;Control_Northing,0
repo,site_public/data/focus/overlays_v3/facility_overlay_status_cumulative.csv,facility_overlay_status_cumulative.csv,.csv,6828,evidence,yes,46,1,best_candidate_site;best_candidate_score,0
repo,site_public/data/focus/overlays_v3/remaining_overlay_queue.csv,remaining_overlay_queue.csv,.csv,6419,evidence,yes,38,0,Lat;Lon;Easting;Northing;Control_Lat;Control_Lon;Control_Easting;Control_Northing,0
repo,site_public/data/focus/overlays_v3/selected_candidate_overlays_cumulative.csv,selected_candidate_overlays_cumulative.csv,.csv,131525,evidence,yes,223,0,facility_lat;facility_lon;control_lat;control_lon;query_point_lat;query_point_lon;candidate_source;monitoring_site_name;openaq_location_id;monitoring_site_lat;monitoring_site_lon;distance_query_to_monitor_km;pollutants;distance_score;pollutant_score;official_hint_score;source_score;relevance_score,0
repo,site_public/data/focus/overlays_v3/candidate_monitoring_overlays.csv,candidate_monitoring_overlays.csv,.csv,1010,measurement,yes,1,0,,0
repo,site_public/data/focus/overlays_v3/selected_candidate_overlays_needing_review.csv,selected_candidate_overlays_needing_review.csv,.csv,131525,evidence,yes,223,0,facility_lat;facility_lon;control_lat;control_lon;query_point_lat;query_point_lon;candidate_source;monitoring_site_name;openaq_location_id;monitoring_site_lat;monitoring_site_lon;distance_query_to_monitor_km;pollutants;distance_score;pollutant_score;official_hint_score;source_score;relevance_score,0
repo,site_public/data/focus/overlays_v3/remaining_overlay_batch_queried.csv,remaining_overlay_batch_queried.csv,.csv,1666,evidence,yes,10,0,Lat;Lon;Easting;Northing;Control_Lat;Control_Lon;Control_Easting;Control_Northing,0
repo,site_public/data/focus/overlays_v3/candidate_monitoring_overlays_this_run.csv,candidate_monitoring_overlays_this_run.csv,.csv,1010,measurement,yes,1,0,,0
repo,site_public/data/focus/overlays_v3/validated_defra_overlays.csv,validated_defra_overlays.csv,.csv,4524,evidence,yes,8,1,Facility_Postcode;Facility_Lat;Facility_Lon;Facility_Easting;Facility_Northing;Control_Site;Control_Postcode;Control_Lat;Control_Lon;Control_Easting;Control_Northing;Receptor_Postcode;Receptor_Lat;Receptor_Lon;Receptor_Easting;Receptor_Northing;Control_Source;Last_Checked;DEFRA_Site_Lat;DEFRA_Site_Lon,4
repo,site_public/data/focus/overlays_v3/facility_overlay_status.csv,facility_overlay_status.csv,.csv,6828,evidence,yes,46,1,best_candidate_site;best_candidate_score,0
repo,site_public/data/focus/overlays_v2/openaq_query_diagnostics.csv,openaq_query_diagnostics.csv,.csv,93919,diagnostic,yes,410,0,url;http_status;result_count;method;query_lat;query_lon,0
repo,site_public/data/focus/overlays_v2/remaining_overlay_queue.csv,remaining_overlay_queue.csv,.csv,6457,evidence,yes,41,0,Lat;Lon;Easting;Northing;Control_Lat;Control_Lon;Control_Easting;Control_Northing,0
repo,site_public/data/focus/overlays_v2/candidate_monitoring_overlays.csv,candidate_monitoring_overlays.csv,.csv,319501,measurement,yes,720,0,facility_lat;facility_lon;control_lat;control_lon;query_point_lat;query_point_lon;candidate_source;monitoring_site_name;openaq_location_id;monitoring_site_lat;monitoring_site_lon;distance_query_to_monitor_km;pollutants;distance_score;pollutant_score;official_hint_score;source_score;relevance_score,0
repo,site_public/data/focus/overlays_v2/selected_candidate_overlays_needing_review.csv,selected_candidate_overlays_needing_review.csv,.csv,38380,evidence,yes,83,0,facility_lat;facility_lon;control_lat;control_lon;query_point_lat;query_point_lon;candidate_source;monitoring_site_name;openaq_location_id;monitoring_site_lat;monitoring_site_lon;distance_query_to_monitor_km;pollutants;distance_score;pollutant_score;official_hint_score;source_score;relevance_score,0
repo,site_public/data/focus/overlays_v2/validated_defra_overlays.csv,validated_defra_overlays.csv,.csv,4524,evidence,yes,8,1,Facility_Postcode;Facility_Lat;Facility_Lon;Facility_Easting;Facility_Northing;Control_Site;Control_Postcode;Control_Lat;Control_Lon;Control_Easting;Control_Northing;Receptor_Postcode;Receptor_Lat;Receptor_Lon;Receptor_Easting;Receptor_Northing;Control_Source;Last_Checked;DEFRA_Site_Lat;DEFRA_Site_Lon,4
repo,site_public/data/focus/operational/public_facility_overlay_status.csv,public_facility_overlay_status.csv,.csv,6883,evidence,yes,46,1,best_candidate_site;best_candidate_score,0
